agenda,sentence,relevance,category
Marketing Campaign,Did you watch the match?,0,IRRELEVANT
Team Management,The project is behind schedule because several tasks remain incomplete.,1,PROBLEM
Software Development,I'll investigate the API response time.,1,ACTION
Financial Analysis,Operating costs increased by eight percent.,1,INFORMATION
Event Planning,Did you call your friend?,0,IRRELEVANT
Product Development,I'll compare user behavior across devices.,1,ACTION
Software Development,We decided to introduce caching.,1,DECISION
Team Management,Communication between the development and testing teams is causing delays.,1,PROBLEM
Team Management,The project currently has eight team members.,1,INFORMATION
Marketing Campaign,We could introduce a referral campaign.,1,IDEA
Financial Analysis,I'll calculate the profit margin.,1,ACTION
Software Development,Did you watch the movie yesterday?,0,IRRELEVANT
Team Management,What time are you leaving?,0,IRRELEVANT
Website Development,Perhaps we should compress the static assets.,1,IDEA
Software Development,Users are unable to complete the login process.,1,PROBLEM
Event Planning,Ticket sales increased last week.,1,INFORMATION
Marketing Campaign,The campaign budget is one hundred thousand.,1,INFORMATION
Software Development,The application fails whenever a user tries to sign in.,1,PROBLEM
Product Development,The product has been available for three years.,1,INFORMATION
Event Planning,Five speakers are scheduled to attend the conference.,1,INFORMATION
Software Development,The database queries are inefficient.,1,PROBLEM
College Project,We could try KNN imputation.,1,IDEA
Team Management,The weather is expected to be sunny this weekend.,0,IRRELEVANT
Team Management,We've decided to clarify responsibilities.,1,DECISION
Website Development,Let's use WebP for the website images.,1,DECISION
Financial Analysis,I'll review the marketing expenses.,1,ACTION
Website Performance Optimization,Maybe we should use WebP images.,1,IDEA
Website Performance Optimization,The homepage is taking too long to load.,1,PROBLEM
Team Management,I'll create a shared task board.,1,ACTION
College Project,I'll evaluate the class distribution.,1,ACTION
Product Development,We've agreed to prioritize the missing features.,1,DECISION
Software Development,We could split the application into smaller services.,1,IDEA
Event Planning,The venue can accommodate five hundred people.,1,INFORMATION
Website Performance Optimization,The homepage contains several large images.,1,INFORMATION
Marketing Campaign,Did you call your parents?,0,IRRELEVANT
Website Performance Optimization,The website currently uses PNG images.,1,INFORMATION
Team Management,I'll prepare a prioritized task list.,1,ACTION
Software Development,The development team uses Python for this application.,1,INFORMATION
College Project,The project has three machine learning models.,1,INFORMATION
College Project,The target variable contains three classes.,1,INFORMATION
Financial Analysis,The sales numbers are below target.,1,PROBLEM
Website Performance Optimization,We could compress the images.,1,IDEA
Software Development,The application crashes during login.,1,PROBLEM
Team Management,We decided to use a shared task board.,1,DECISION
Website Development,We agreed to reduce the JavaScript bundle size.,1,DECISION
College Project,We don't have enough training data.,1,PROBLEM
Website Performance Optimization,The current loading time is unacceptable.,1,PROBLEM
Financial Analysis,What should we have for lunch?,0,IRRELEVANT
Event Planning,We decided to move to a larger venue.,1,DECISION
Financial Analysis,I'll compare this quarter with last quarter.,1,ACTION
Software Development,We've decided to improve error handling.,1,DECISION
Product Development,My friend is visiting tomorrow.,0,IRRELEVANT
Marketing Campaign,The campaign reached fifty thousand users.,1,INFORMATION
Financial Analysis,The company generated ten million in revenue.,1,INFORMATION
Marketing Campaign,The campaign generated five hundred leads.,1,INFORMATION
Event Planning,What are you doing tonight?,0,IRRELEVANT
Software Development,The application currently supports two-factor authentication.,1,INFORMATION
Website Performance Optimization,The current average load time is five seconds.,1,INFORMATION
Website Performance Optimization,We decided to optimize the JavaScript files.,1,DECISION
Team Management,Perhaps we should introduce regular feedback sessions.,1,IDEA
Marketing Campaign,We could increase our social media presence.,1,IDEA
Software Development,The latest build causes errors in the payment module.,1,PROBLEM
College Project,I'll clean the missing values.,1,ACTION
Team Management,Communication between departments is poor.,1,PROBLEM
Financial Analysis,What time is the movie?,0,IRRELEVANT
Event Planning,The weather was pleasant this afternoon.,0,IRRELEVANT
Marketing Campaign,I'll analyze the social media engagement.,1,ACTION
Product Development,Did you watch the football match?,0,IRRELEVANT
Team Management,The team is unable to complete the current sprint on time.,1,PROBLEM
Website Development,The weather is really nice today.,0,IRRELEVANT
Software Development,We could optimize the database queries.,1,IDEA
Software Development,The database connection drops during application startup.,1,PROBLEM
Product Development,Are you going out tonight?,0,IRRELEVANT
Product Development,What time is the meeting?,0,IRRELEVANT
Event Planning,The organizers decided to adjust the schedule.,1,DECISION
Product Development,Customer retention has declined.,1,PROBLEM
Financial Analysis,Maybe we should review the marketing budget.,1,IDEA
College Project,The team decided to compare three models.,1,DECISION
Product Development,The football match starts at eight tonight.,0,IRRELEVANT
Software Development,The application supports user authentication through email.,1,INFORMATION
Event Planning,The event is scheduled for next month.,1,INFORMATION
Team Management,The weekly report contains the team's current progress.,1,INFORMATION
Financial Analysis,The football match was exciting last night.,0,IRRELEVANT
Financial Analysis,My friend is planning a vacation next month.,0,IRRELEVANT
Software Development,The system currently has three login options.,1,INFORMATION
College Project,Maybe a transformer model would improve the results.,1,IDEA
Event Planning,Two conference sessions are scheduled in the same room.,1,PROBLEM
Event Planning,The team agreed to simplify registration.,1,DECISION
Financial Analysis,I need to get some groceries.,0,IRRELEVANT
Event Planning,The registration deadline is next Friday.,1,INFORMATION
Website Performance Optimization,Maybe we should optimize the JavaScript files.,1,IDEA
Team Management,We could prioritize tasks using deadlines.,1,IDEA
Software Development,Several API requests are returning server errors.,1,PROBLEM
Marketing Campaign,The advertisement is not reaching enough people.,1,PROBLEM
Website Development,Users are experiencing slow page loading.,1,PROBLEM
Financial Analysis,Sales are highest in the southern region.,1,INFORMATION
Product Development,Customers are unhappy with the current product.,1,PROBLEM
Team Management,I'll document everyone's responsibilities.,1,ACTION
Website Development,What time are you leaving for home?,0,IRRELEVANT
Event Planning,Several participants cannot access the event portal.,1,PROBLEM
Event Planning,My phone battery is almost empty.,0,IRRELEVANT
Team Management,I'm planning a trip next month.,0,IRRELEVANT
Marketing Campaign,The campus library closes at six o'clock.,0,IRRELEVANT
Financial Analysis,We've decided to focus on the profitable products.,1,DECISION
Product Development,Most users access the product through mobile devices.,1,INFORMATION
Team Management,The team agreed to redistribute the workload.,1,DECISION
Product Development,We could improve the search functionality.,1,IDEA
Software Development,I had lunch with my friends yesterday.,0,IRRELEVANT
Website Development,Let's move the static files to a CDN.,1,DECISION
Website Development,We've decided to improve the caching strategy.,1,DECISION
Financial Analysis,Revenue increased by twelve percent last year.,1,INFORMATION
Marketing Campaign,The email open rate is below target.,1,PROBLEM
Financial Analysis,Perhaps we should review supplier costs.,1,IDEA
Website Performance Optimization,Did you finish watching that movie?,0,IRRELEVANT
Software Development,We could improve the deployment pipeline.,1,IDEA
Event Planning,The restaurant was excellent.,0,IRRELEVANT
College Project,The team agreed to collect more samples.,1,DECISION
Website Development,Several pages currently have broken links.,1,INFORMATION
College Project,I need to buy groceries after class.,0,IRRELEVANT
Website Performance Optimization,What if we enabled lazy loading?,1,IDEA
Product Development,Maybe we should introduce personalized recommendations.,1,IDEA
College Project,Maybe we should collect more data.,1,IDEA
College Project,What are you doing this weekend?,0,IRRELEVANT
Website Development,The team decided to fix the mobile layout.,1,DECISION
Software Development,I'll analyze the memory usage.,1,ACTION
Product Development,We agreed to improve the mobile experience.,1,DECISION
College Project,The current model accuracy is seventy percent.,1,INFORMATION
Software Development,The software stops responding during startup.,1,PROBLEM
Product Development,We decided to simplify onboarding.,1,DECISION
Financial Analysis,Profit margins are lower than expected.,1,PROBLEM
Team Management,The project has five major milestones.,1,INFORMATION
Team Management,We agreed to shorten the weekly meetings.,1,DECISION
Event Planning,Did you watch the match yesterday?,0,IRRELEVANT
Financial Analysis,The weather is very hot today.,0,IRRELEVANT
Event Planning,The venue has two rooms available for workshops.,1,INFORMATION
Marketing Campaign,I need to buy a new shirt.,0,IRRELEVANT
Event Planning,I'll update the event schedule.,1,ACTION
Product Development,We could simplify the onboarding process.,1,IDEA
Software Development,Maybe we should introduce a logging system.,1,IDEA
Website Development,The mobile version is performing poorly.,1,PROBLEM
Marketing Campaign,What time should we leave?,0,IRRELEVANT
Team Management,Let's create a dedicated communication channel.,1,DECISION
Financial Analysis,The company has three major revenue streams.,1,INFORMATION
Software Development,The application currently has three services.,1,INFORMATION
Product Development,I'll analyze customer retention.,1,ACTION
College Project,I'll calculate the F1 score for each model.,1,ACTION
Team Management,Maybe we should use a shared task board.,1,IDEA
Marketing Campaign,I'll review the customer acquisition data.,1,ACTION
Marketing Campaign,I'll review the audience demographics.,1,ACTION
Marketing Campaign,I'm planning a trip next month.,0,IRRELEVANT
Website Development,The team agreed to optimize the homepage.,1,DECISION
