agenda,sentence,relevance,category
Product Development,We agreed to improve the mobile experience.,1,DECISION
Product Development,We could redesign the main dashboard.,1,IDEA
Team Management,I'll schedule a progress meeting.,1,ACTION
Event Planning,The weather is hot today.,0,IRRELEVANT
College Project,We could try KNN imputation.,1,IDEA
Team Management,Weekly meetings are held every Monday.,1,INFORMATION
Website Development,The average page load time is five seconds.,1,INFORMATION
Financial Analysis,I'll calculate the profit margin.,1,ACTION
Team Management,Most tasks are tracked using a shared system.,1,INFORMATION
Software Development,My friend is coming tomorrow.,0,IRRELEVANT
Product Development,The product is too expensive for some users.,1,PROBLEM
Financial Analysis,I'll check the sales performance by region.,1,ACTION
Software Development,Several bugs remain unresolved.,1,PROBLEM
Product Development,I'll review the missing features.,1,ACTION
Financial Analysis,We could improve our forecasting model.,1,IDEA
Marketing Campaign,We've agreed to change the landing page.,1,DECISION
Marketing Campaign,We could test a different advertisement.,1,IDEA
Team Management,We decided to use a shared task board.,1,DECISION
Team Management,We've agreed to introduce monthly feedback sessions.,1,DECISION
Product Development,The latest release introduced usability problems.,1,PROBLEM
Website Development,The weather is really nice today.,0,IRRELEVANT
Website Development,Several pages currently have broken links.,1,INFORMATION
Website Development,Maybe we should use WebP images.,1,IDEA
College Project,I watched a great movie yesterday.,0,IRRELEVANT
Website Development,Perhaps we should compress the static assets.,1,IDEA
College Project,The model is taking too long to train.,1,PROBLEM
Marketing Campaign,Our conversion rate is too low.,1,PROBLEM
Team Management,I'll document everyone's responsibilities.,1,ACTION
Website Development,The website is loading very slowly.,1,PROBLEM
Event Planning,We could increase social media promotion.,1,IDEA
Financial Analysis,We could reduce operational costs.,1,IDEA
Website Development,We decided to enable lazy loading.,1,DECISION
Event Planning,Ticket sales increased last week.,1,INFORMATION
College Project,The team decided to compare three models.,1,DECISION
Financial Analysis,What should we have for lunch?,0,IRRELEVANT
Event Planning,The registration deadline is next Friday.,1,INFORMATION
Marketing Campaign,Most customers are between twenty and thirty years old.,1,INFORMATION
Website Development,Did you see the new restaurant nearby?,0,IRRELEVANT
Team Management,We could redistribute the workload.,1,IDEA
Event Planning,We could move the event to a larger venue.,1,IDEA
College Project,The target variable contains three classes.,1,INFORMATION
Financial Analysis,I'll review the marketing expenses.,1,ACTION
Financial Analysis,I'll investigate the increase in operating costs.,1,ACTION
